cie_id,system_id,cycle,trigger_maintenance,trigger_shop_maintenance,trigger_usage_change,trigger_FOD,CRUISE_DTAMB,CRUISE_ALT,CRUISE_MACH,CRUISE_COMMAND,TAKEOFF_DTAMB,TAKEOFF_ALT,TAKEOFF_MACH,TAKEOFF_COMMAND,matrix_deg_CmpFan_s_mapEff_in,matrix_deg_CmpFan_s_mapWc_in,matrix_deg_CmpBst_s_mapEff_in,matrix_deg_CmpBst_s_mapWc_in,matrix_deg_CmpH_s_mapEff_in,matrix_deg_CmpH_s_mapWc_in,matrix_deg_TrbH_s_mapEff_in,matrix_deg_TrbH_s_mapWc_in,matrix_deg_TrbL_s_mapEff_in,matrix_deg_TrbL_s_mapWc_in,normal,corrosion,erosion,fouling,tip_clearance,CRUISE_DECKSMRHPC_Tout,CRUISE_DECKSMRHP_Nmech,CRUISE_DECKSMRHPC_Tin,CRUISE_DECKSMRLPT_Tin,CRUISE_DECKSMRFuel_flow,CRUISE_DECKSMRHPC_Pout_st,TAKEOFF_DECKSMRHPC_Tout,TAKEOFF_DECKSMRHP_Nmech,TAKEOFF_DECKSMRHPC_Tin,TAKEOFF_DECKSMRLPT_Tin,TAKEOFF_DECKSMRFuel_flow,TAKEOFF_DECKSMRHPC_Pout_st,deg_CmpBst_s_mapEff_in,deg_CmpBst_s_mapWc_in,deg_CmpFan_s_mapEff_in,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_CmpH_s_mapWc_in,deg_TrbH_s_mapEff_in,deg_TrbH_s_mapWc_in,deg_TrbL_s_mapEff_in,deg_TrbL_s_mapWc_in
4,10,939,False,False,False,False,9.618,34982.041299,0.763904,24905.561827,15.958,36.025484,1.7e-05,24922.277174,-2.3729048739884746,-1.2101373493735794,-0.2302063080074599,-0.5672278257450537,-10.598275126571025,-0.3873294113697716,-5.871206609923821,-0.40954762993167304,-2.544872520809891,-0.4129189077099165,1,0.0,0.0,1.0,0.0,797.9217105365688,18547.82668298152,337.2708552633505,1172.032614312815,0.3782403342191618,1330774.2893556422,901.9983734814338,19665.257743786562,389.08298946129855,1335.004523625361,1.0573536296614559,3413415.4462014404,-0.010708396764163288,-0.006056837518391932,-0.0040934090523643924,-0.004407093399805368,-0.035036202430476705,-0.00407666133339208,-0.02048969158361622,-0.003849619898078054,-0.0106688006212125,-0.0040651149892569445
4,10,940,False,False,False,False,9.275,34926.744098,0.795222,25034.085987,14.612,15.00419,5.2e-05,24939.389179,-2.3729048739884746,-1.2101373493735794,-0.2302063080074599,-0.5672278257450537,-10.598275126571025,-0.3873294113697716,-5.871206609923821,-0.40954762993167304,-2.544872520809891,-0.4129189077099165,1,0.0,0.0,1.0,0.0,801.3837491025829,18606.223778994867,339.79932222682476,1175.3923058462067,0.3919621117925413,1371412.7994943468,902.9658933875527,19696.959645778352,389.58545745798216,1341.7435670509833,1.068537078807961,3438563.6256508874,-0.010796498636801802,-0.006080274958883867,-0.004128015467209869,-0.0044259382275708544,-0.03528178006048461,-0.00408859523754017,-0.020589646959986545,-0.003873318094028206,-0.01076956553856363,-0.0040783279088770314
4,10,941,False,False,False,False,9.306,34924.069414,0.761669,25061.259889,15.889,46.343862,9.8e-05,24976.046349,-2.3729048739884746,-1.2101373493735794,-0.2302063080074599,-0.5672278257450537,-10.598275126571025,-0.3873294113697716,-5.871206609923821,-0.40954762993167304,-2.544872520809891,-0.4129189077099165,1,0.0,0.0,1.0,0.0,796.1470804239906,18567.625205712717,336.83949207209776,1174.5227655545164,0.3783632284222445,1343308.2861298749,900.1326919785186,19666.899288295786,389.1672672452687,1334.2202048962404,1.0607383172525549,3419810.72947341,-0.010838650259270124,-0.0061182304982466155,-0.004159209527601615,-0.004449006967745471,-0.03547258945317286,-0.004101688810488389,-0.02070069513912358,-0.003888074304416068,-0.010842661789643921,-0.0040966793444271
4,10,942,False,False,False,False,10.298,34973.746255,0.772737,25024.674537,14.644,75.834923,8.4e-05,24938.268466,-2.3729048739884746,-1.2101373493735794,-0.2302063080074599,-0.5672278257450537,-10.598275126571025,-0.3873294113697716,-5.871206609923821,-0.40954762993167304,-2.544872520809891,-0.4129189077099165,1,0.0,0.0,1.0,0.0,801.3570483592528,18596.283666056108,339.54623580026634,1179.2701407304755,0.3800939583138208,1350276.1456785651,903.391171472072,19686.19745883723,389.4725626107495,1339.1768467207407,1.065282733666422,3431990.1225592834,-0.010889065857905705,-0.006173539057994185,-0.004166371000009688,-0.004483093525666545,-0.035659743416728576,-0.0041230295230248815,-0.02080860768682405,-0.003910591985080898,-0.010927825848384793,-0.00413935933227315
4,10,943,False,False,False,False,10.905,35024.344998,0.786261,24952.984026,15.306,16.723879,6.5e-05,25037.750193,-2.3729048739884746,-1.2101373493735794,-0.2302063080074599,-0.5672278257450537,-10.598275126571025,-0.3873294113697716,-5.871206609923821,-0.40954762993167304,-2.544872520809891,-0.4129189077099165,1,0.0,0.0,1.0,0.0,805.4102916338765,18654.985268066215,341.22473085453595,1184.7571598204736,0.3865553898437711,1353796.5197439739,901.813259212556,19676.537501061488,389.24789486191764,1341.4613813182405,1.0636926930906938,3431650.7606422985,-0.010967849841957407,-0.00621293772025863,-0.004171397588239581,-0.004526791695726136,-0.03585894869176081,-0.004140892870185948,-0.02094906141544638,-0.003941946239530287,-0.010988967002721865,-0.0042259189022909
4,10,944,False,False,False,False,9.17,35053.173372,0.767622,25079.906983,14.981,89.961217,5.2e-05,25091.140134,-2.3729048739884746,-1.2101373493735794,-0.2302063080074599,-0.5672278257450537,-10.598275126571025,-0.3873294113697716,-5.871206609923821,-0.40954762993167304,-2.544872520809891,-0.4129189077099165,1,0.0,0.0,1.0,0.0,796.9475095399166,18563.932709423527,336.9548570239051,1178.0292455850004,0.38128906184368017,1342182.5694881983,901.9797508364485,19673.542759716813,389.53088650014945,1340.754050277164,1.062346658555804,3435374.541453498,-0.011038653477958451,-0.006241611787102779,-0.004214368964817862,-0.004563309005819886,-0.03604071006922136,-0.004161583977021075,-0.02106015496999256,-0.003957322377845578,-0.011077470613362105,-0.004235882459421277
4,10,945,False,False,False,False,10.48,35028.610222,0.764701,25068.676182,15.624,28.449314,1.4e-05,24915.9829,-2.3729048739884746,-1.2101373493735794,-0.2302063080074599,-0.5672278257450537,-10.598275126571025,-0.3873294113697716,-5.871206609923821,-0.40954762993167304,-2.544872520809891,-0.4129189077099165,1,0.0,0.0,1.0,0.0,802.1571931432019,18604.654562094554,339.0705342748963,1178.1491249484543,0.38919295874987453,1340357.3928728448,901.7454968183754,19669.746197769105,389.38613156897503,1339.162714816859,1.0623292187872087,3417803.6424187315,-0.011091266399762004,-0.006316221829762345,-0.004245664943124227,-0.004599843109257479,-0.03624497383360939,-0.004195864664902717,-0.021185292356116138,-0.003996160219716639,-0.011127190072728896,-0.004260935887524912
4,10,946,False,False,False,False,10.903,35052.745313,0.783403,25026.672886,15.671,85.618099,1.9e-05,24960.581607,-2.3729048739884746,-1.2101373493735794,-0.2302063080074599,-0.5672278257450537,-10.598275126571025,-0.3873294113697716,-5.871206609923821,-0.40954762993167304,-2.544872520809891,-0.4129189077099165,1,0.0,0.0,1.0,0.0,805.1399750630633,18640.9134136965,341.0455345450317,1185.2485816578267,0.3874758954825051,1358195.2175679028,900.7064287108861,19662.188063768386,389.01064246360073,1337.7102085467336,1.0614484787771081,3415256.3935205815,-0.011169287283036455,-0.006352369075543765,-0.004290677317327595,-0.004626089259039134,-0.0364362722956654,-0.004210237042233765,-0.02134231700248218,-0.004007679905136302,-0.011192565994830225,-0.004290745104630971
4,10,947,False,False,False,False,9.484,34942.533253,0.764496,25099.381424,14.64,16.669123,7.7e-05,24974.71849,-2.3729048739884746,-1.2101373493735794,-0.2302063080074599,-0.5672278257450537,-10.598275126571025,-0.3873294113697716,-5.871206609923821,-0.40954762993167304,-2.544872520809891,-0.4129189077099165,1,0.0,0.0,1.0,0.0,797.9796075427519,18567.777574862346,337.6557257620057,1180.4338053211734,0.3842728627891755,1342823.7010408083,903.6392049300454,19675.780897908182,389.4594330196013,1339.8004673578155,1.0691574475641712,3434996.836256559,-0.011211963743740831,-0.0063850359701940525,-0.004342367182890012,-0.004647772511632752,-0.03667831335887862,-0.0042642579266523,-0.021487145760168757,-0.004037801688814213,-0.011240680125159237,-0.0043101935420713396
4,10,948,False,False,False,False,10.186,35061.857769,0.790217,24901.97844,14.448,51.235905,0.0001,24941.140513,-2.3729048739884746,-1.2101373493735794,-0.2302063080074599,-0.5672278257450537,-10.598275126571025,-0.3873294113697716,-5.871206609923821,-0.40954762993167304,-2.544872520809891,-0.4129189077099165,1,0.0,0.0,1.0,0.0,803.8141136699358,18611.36246832537,340.28780270759603,1184.3666124435942,0.38735487329914836,1353223.3850916685,903.9954529733151,19669.85396498579,389.16480130662285,1342.035484795532,1.0691127686311381,3435097.851621912,-0.011291766505336464,-0.006435415104409328,-0.004368739599249591,-0.004671890180899459,-0.036865126088232114,-0.004301354245442367,-0.02162595557389598,-0.0040836420390695915,-0.011313592533163141,-0.004331384781344163
